Product Number,Title,Short Title,Final Price,Unit Cost,In Stock,Manufactory,Ship From Country Name,Rating,Number of Reviews,Item Model,Shipping Charge,Warranty ID,Warranty Name,Best Selling Ranking,Lowest Price 30 Days,Item Length,Item Width,Item Height,Item Weight,Country of Manufacture,Limit Quantity,Seller ID,Seller Name,Seller Rating,Seller Reviews
17-438-221,"EVGA SuperNOVA 1000 GT, 80 Plus Gold 1000W, Fully Modular, Eco Mode with FDB Fan, 100% Japanese Capacitors, 10 Year Warranty, Includes Power ON Self Tester, Compact 150mm Size, 220-GT-1000-X1","EVGA SuperNOVA 1000 GT, 80 Plus Gold 1000W, Fully Modular, Eco Mode with FDB Fan, 100% Japanese Capacitors, 10 Year Warranty, Includes Power ON Self Tester, Compact 150mm Size, 220-GT-1000-X1",129.99$,189.99$,Yes,EVGA,United States,5,433,220-GT-1000-X1,0.01,53,Extended Holiday Return Policy,16,128.69$,11.6,8.9,4.7,8.1,USA,99,,,,
83-630-058,"YEYIAN TANTO Gaming PC Desktop INTEL i5- 14400F NVIDIA RTX 4060 Ti -AI Accelerated 32GB DDR5 6000MHz RGB 1TB SSD 650W Wi-Fi, Window 11 64bit- YPI-TA44F0C-46T1N","YEYIAN TANTO Gaming PC Desktop INTEL i5- 14400F NVIDIA RTX 4060 Ti -AI Accelerated 32GB DDR5 6000MHz RGB 1TB SSD 650W Wi-Fi, Window 11 64bit- YPI-TA44F0C-46T1N",949.99$,1399.99$,Yes,YEYIAN,United States,4,84,YPI-TA44F0C-46T1N,0.01,53,Extended Holiday Return Policy,68,949.99$,21.0,21.0,12.0,27.0,USA,10,,,,
35-181-168,"Corsair LL Series CO-9050092-WW LL120 RGB, 120mm Dual Light Loop RGB LED PWM Fan, 3 Fan Pack with Lighting Node PRO, White",Corsair LL Series LL120 RGB White Triple Pack CO-9050092-WW,41.99$,54.99$,Yes,Corsair,United States,4,834,CO-9050092-WW,0.01,53,Extended Holiday Return Policy,19,41.99$,7.2,5.4,4.2,1.79,USA,5,,,,
9SIAKUYK9W6931,"Dowinx Fabric Gaming Chair with Pocket Spring Cushion, Ergonomic Computer Chair with Footrest, Cloth Gamer Chair with Massage Lumbar Support and Headrest, Green and Grey","Dowinx Fabric Gaming Chair with Pocket Spring Cushion, Ergonomic Computer Chair with Footrest, Cloth Gamer Chair with Massage Lumbar Support and Headrest, Green and Grey",139.99$,189.99$,Yes,Dowinx,United States,5,132,LS-6658B02F,0.01,53,Extended Holiday Return Policy,33,139.99$,32.68,22.64,9.06,43.21,CHN,99999,AKUY,Dowinx,5.0,524.0
9SIA1HJK9R1530,"Skytech King 95 Gaming PC Desktop, Ryzen 7 7700X 4.5 GHz, NVIDIA RTX 4070 Ti Super 16GB GDDR6X, 1TB Gen4 SSD, 32GB DDR5 RAM 5600 RGB, 750W GOLD PSU, 360mm ARGB AIO , Wi-Fi, Win 11","Skytech King 95 Gaming PC Desktop, Ryzen 7 7700X 4.5 GHz, NVIDIA RTX 4070 Ti Super 16GB GDDR6X, 1TB Gen4 SSD, 32GB DDR5 RAM 5600 RGB, 750W GOLD PSU, 360mm ARGB AIO , Wi-Fi, Win 11",1779.99$,1899.99$,Yes,Skytech,United States,5,4,ST-KING95-1358-W-NE,0.01,221665,Goodios Return Policy,60,1762.19$,18.4,17.4,11.81,24.58,,5,A1HJ,Skytech,5.0,183.0
83-630-048,Yeyian Gaming Desktop TANTO YPI-TA34F0B-47S1N Intel Core i5-13400F 16GB DDR5 1 TB PCIe SSD GeForce RTX 4070 SUPER Windows 11 Home 64-bit,Yeyian TANTO YPI-TA34F0B-47S1N Intel Core i5-13400F Gaming Desktop,1199.99$,1599.99$,Yes,YEYIAN,United States,4,84,YPI-TA34F0B-47S1N,0.01,53,Extended Holiday Return Policy,90,1199.99$,25.0,23.0,13.0,31.0,USA,2,,,,
20-236-909,CORSAIR Vengeance RGB 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) XMP 3.0 AMD EXPO Desktop Memory Model CMH32GX5M2B6000Z30K,CORSAIR Vengeance RGB Model CMH32GX5M2B6000Z30K,114.99$,134.99$,Yes,Corsair,United States,4,16,CMH32GX5M2B6000Z30K,0.01,53,Extended Holiday Return Policy,61,109.99$,6.45,5.3,0.5,0.25,USA,5,,,,
9SIA6PFA372368,"Wavlink USB C Docking Station Triple Monitor with 65W PD Charging, 100W PD USB-C, 4K HDMI, 2X HDMI, DVI, 4xUSB 3.0, 2xUSB C, Gigabit Ethern, Audio/Mic for Specific Windows,Mac OS,Thunderbolt 3 Systems","Wavlink USB C Docking Station Triple Monitor with 65W PD Charging, 100W PD USB-C, 4K HDMI, 2X HDMI, DVI, 4xUSB 3.0, 2xUSB C, Gigabit Ethern, Audio/Mic for Specific Windows,Mac OS,Thunderbolt 3 Systems",69.99$,69.99$,Yes,Wavlink,United States,5,3,WL-UG39PD1,0.01,227849,Wavlink Return Policy,17,69.29$,9.7,8.75,3.85,3.27,USA,99999,A6PF,Wavlink Technology,5.0,8059.0
9SIA6PFEBZ4796,"WAVLINK WiFi 6E Wireless Card Intel AX210 Tri-Band 5400Mbps 2.4GHz/5GHz/6GHz Network Adapter with Bluetooth 5.3 for Laptop, Ultra-Low Latency, Support Windows 10/11 (64bit) M.2/NGFF","WAVLINK WiFi 6E Wireless Card Intel AX210 Tri-Band 5400Mbps 2.4GHz/5GHz/6GHz Network Adapter with Bluetooth 5.3 for Laptop, Ultra-Low Latency, Support Windows 10/11 (64bit) M.2/NGFF",19.99$,45.99$,Yes,Wavlink,United States,4,262,WL-WN675X2-M,0.01,227849,Wavlink Return Policy,34,19.99$,5.75,3.2,0.5,0.08,USA,99999,A6PF,Wavlink Technology,5.0,8059.0
35-200-140,"Rosewill RGBF-23001 120mm Dual Ring Addressable RGB Case Fan Hub Set, True RGB LED Case Fans (5-Pack) and 8-Port Fan Hub, Ultra Quiet Cooling with Long Life Rifle Bearings",Rosewill RGBF-23001,19.99$,39.99$,Yes,Rosewill,United States,4,17,RGBF-23001,0.01,82,Manufacturer Only Return Policy,9,19.99$,6.1,5.31,4.88,2.03,USA,999999,,,,
34-156-554,MSI Vector GP66HX 12UGS-066 Gaming Laptop Intel Core i7-12800HX 2.00 GHz 15.6'' Windows 11 Home 64-bit,MSI GP Series Vector GP66HX 12UGS-066 15.6'' Gaming Laptop,1299.99$,2249.99$,Yes,MSI,United States,4,155,Vector GP66HX 12UGS-066,0.01,53,Extended Holiday Return Policy,11,1286.99$,19.4,13.75,4.65,11.0,,3,,,,
83-151-490,MSI Gaming Desktop Aegis SE 13TA-893US Intel Core i5-13400F 16GB DDR5 500 GB M.2 SSD GeForce RTX 3050 Windows 11 Home 64-bit,MSI Aegis SE 13TA-893US Intel Core i5-13400F Gaming Desktop,699$,799$,Yes,MSI,United States,5,6,Aegis SE 13TA-893US,0.01,53,Extended Holiday Return Policy,0,699$,23.0,21.5,9.0,18.0,,10,,,,
24-281-246,"ASUS 27"" 240 Hz OLED WQHD gaming monitor 0.03ms (Gray to Gray) FreeSync Premium & G-Sync Compatible 2560 x 1440 (2K) Anti-glare micro-texture coating, 99% DCI-P3,True 10-bit, Flat Panel PG27AQDM","ASUS 27"" 240 Hz OLED WQHD gaming monitor 0.03ms (Gray to Gray) FreeSync Premium & G-Sync Compatible 2560 x 1440 (2K) Anti-glare micro-texture coating, 99% DCI-P3,True 10-bit, Flat Panel PG27AQDM",699.99$,799.99$,Yes,ASUS,United States,4,32,90LM08Q0-B01AB0,0.01,53,Extended Holiday Return Policy,0,692.99$,26.05,17.0,9.0,20.0,,2,,,,
9SIBV1MKAM2732,"AOACE Gaming PC Desktop INTEL Core i5 12400F 2.5 GHz, NVIDIA RTX 4060 8G DLSS 3, 32GB DDR4 RAM 3200MHz,1TB NVMe PCIe4.0, Wi-Fi6E, Game Design Office console,Black Myth Wukong,Windows 11 Home 64-bit","AOACE Gaming PC Desktop INTEL Core i5 12400F 2.5 GHz, NVIDIA RTX 4060 8G DLSS 3, 32GB DDR4 RAM 3200MHz,1TB NVMe PCIe4.0, Wi-Fi6E, Game Design Office console,Black Myth Wukong,Windows 11 Home 64-bit",749.99$,1299.99$,Yes,AOACE,United States,0,0,TT170 12400F+4060+32G+1T,0.01,418502,AOACE Digital Return Policy,0,749.42$,17.24,14.86,8.35,19.4,USA,99999,BV1M,AOACE Digital,4.0,24.0
35-103-369,"Cooler Master MasterLiquid 360 ION LCD Display Close-Loop AIO Liquid Cooler, 2.1"" LCD Display, Gen X Dual Chamber Pump, Mobius 120P PWM Fans, ARGB Gen 2, 360mm, AMD AM5/AM4, Intel LGA1851/1700/1200",COOLER MASTER AIO Liquid Cooler,249.99$,249.99$,Yes,Cooler Master,United States,5,1,MLY-D36M-A24PZ-R1,0.01,53,Extended Holiday Return Policy,0,199.99$,16.0,8.5,5.5,7.0,,2,,,,
20-331-846,Team T-Force Delta RGB 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model FF4D532G6000HC30DC01,Team T-Force Delta RGB Model FF4D532G6000HC30DC01,102.99$,119.99$,Yes,Team Group,United States,4,359,FF4D532G6000HC30DC01,0.01,53,Extended Holiday Return Policy,13,94.49$,6.3,4.53,0.59,0.29,,50,,,,
9SIBG7CKBG6175,"Nextorage 1TB Internal SSD compatible with NEW PS5 console and PC M.2 2280 with Heatsink PCIe Gen4.0 NVMe NEM-PAB1TB/N SYM Maximum Transfer Rate Read: 7400MB/s, Write: 6100MB/s Solid State Drive","Nextorage 1TB Internal SSD compatible with NEW PS5 console and PC M.2 2280 with Heatsink PCIe Gen4.0 NVMe NEM-PAB1TB/N SYM Maximum Transfer Rate Read: 7400MB/s, Write: 6100MB/s Solid State Drive",67.99$,149.99$,Yes,Nextorage,United States,5,146,NEM-PAB1TB/N SYM,0.01,402739,Nextorage Store Return Policy,0,67.99$,4.75,4.0,1.85,0.15,JPN,99999,BG7C,Nextorage Store,5.0,212.0
9SIBESPKBX1775,"Smanic 4k Dash Cam Front, Dash Camera for Cars Built with WiFi GPS 3.16 IPS Screen, Car Dashboard Recorder 170° Wide Angle, WDR,24H Parking Mode, Night Vision, Loop Recording","Smanic 4k Dash Cam Front, Dash Camera for Cars Built with WiFi GPS 3.16 IPS Screen, Car Dashboard Recorder 170° Wide Angle, WDR,24H Parking Mode, Night Vision, Loop Recording",49.99$,139.99$,Yes,Smanic,United States,3,1,WIL-SNUSA-DT02G-GREY,0.01,399646,JOYYYPAIR Return Policy,1,39.99$,6.0,4.5,2.0,0.6,USA,99999,BESP,SMONET Official Store,5.0,24.0
9SIB0GJKD28877,"Lenovo ThinkCentre 50q Gen 4 Mini Desktop, Intel 5-Core Processor, 16GB RAM, 512GB PCIe SSD, DP Port, HDMI, USB A&C, Antenna, RJ-45, Wired Keyboard & Mouse, Wi-Fi 6, Windows 11 Pro, Black","Lenovo ThinkCentre 50q Gen 4 Mini Desktop, Intel 5-Core Processor, 16GB RAM, 512GB PCIe SSD, DP Port, HDMI, USB A&C, Antenna, RJ-45, Wired Keyboard & Mouse, Wi-Fi 6, Windows 11 Pro, Black",359$,429$,Yes,Lenovo,United States,0,0,THINKCENTRE1580_CTO_N1-C,0.01,366573,PConline365 Return Policy,78,359$,19.0,10.8,5.8,6.9,USA,5,B0GJ,PCOnline US,5.0,570.0
83-630-043,"Yeyian Yumi Gaming PC Desktop INTEL Core i7 12700F, Nvidia RTX 4060, 1TB SSD, 32GB DDR4 3200MHz, 650W Gold PSU, AC Wi-Fi, Window 11 64bit- YPI-YU27F0C-4601N","Yeyian Yumi Gaming PC Desktop INTEL Core i7 12700F, Nvidia RTX 4060, 1TB SSD, 32GB DDR4 3200MHz, 650W Gold PSU, AC Wi-Fi, Window 11 64bit- YPI-YU27F0C-4601N",899.99$,1299$,Yes,YEYIAN,United States,4,188,YPI-YU27F0C-4601N,0.01,53,Extended Holiday Return Policy,44,899.99$,21.0,21.0,12.0,27.0,USA,10,,,,
19-113-846,AMD Ryzen 7 5800XT - Ryzen 7 5000 Series Vermeer (Zen 3) 8-Core 3.8 GHz Socket AM4 105W None Integrated Graphics Processor - 100-100001582BOX,AMD Ryzen 7 5800XT Processor,219$,249$,Yes,AMD,United States,0,0,100-100001582BOX,0.01,54,Extended Holiday Replacement-Only Return Policy,65,0$,5.0,5.0,5.0,1.75,USA,1,,,,
20-156-389,"Crucial T500 2TB Gen4 NVMe M.2 Internal Gaming SSD, Up to 7400MB/s, laptop & desktop Compatible + 1mo Adobe CC All Apps - CT2000T500SSD8","Crucial T500 2TB Gen4 NVMe M.2 Internal Gaming SSD, Up to 7400MB/s, laptop & desktop Compatible + 1mo Adobe CC All Apps - CT2000T500SSD8",145.99$,165.99$,Yes,Crucial,United States,5,36,CT2000T500SSD8,0.01,53,Extended Holiday Return Policy,67,144.53$,5.15,3.75,0.5,0.54,USA,20,,,,
20-982-040,CORSAIR Vengeance 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model CMK32GX5M2B6000Z30,CORSAIR Vengeance Model CMK32GX5M2B6000Z30,99.99$,124.99$,Yes,Corsair,United States,5,471,CMK32GX5M2B6000Z30,0.01,53,Extended Holiday Return Policy,87,97.99$,6.56,5.3,0.5,0.3,USA,20,,,,
9SIA1HJKA31625,"Skytech Eclipse Lite Gaming PC Desktop, Ryzen 7 9700X 3.8 GHz (5.5GHz Turbo Boost), NVIDIA RTX 4070 Super 12GB GDDR6X, 1TB Gen4 SSD, 32GB DDR5 RAM 5600 RGB, 850W GOLD PSU","Skytech Eclipse Lite Gaming PC Desktop, Ryzen 7 9700X 3.8 GHz (5.5GHz Turbo Boost), NVIDIA RTX 4070 Super 12GB GDDR6X, 1TB Gen4 SSD, 32GB DDR5 RAM 5600 RGB, 850W GOLD PSU",1649.99$,1899.99$,Yes,Skytech,United States,5,4,ST-ECLIPSELITE2-1352-B-NE,0.01,221665,Goodios Return Policy,0,1649.99$,20.19,20.14,11.1,30.0,,5,A1HJ,Skytech,5.0,183.0
9SIA1HJKB21261,"Skytech O11 Vision Gaming PC Desktop, Ryzen 9 7900X3D 4.4 GHz (5.6GHz Turbo Boost), AMD RX 7900XTX 24GB GDDR6, 2TB Gen4 SSD, 64GB DDR5 RAM 5600 RGB, 850W GOLD PSU, 360mm ARGB AIO , Wi-Fi, Win 11 Home","Skytech O11 Vision Gaming PC Desktop, Ryzen 9 7900X3D 4.4 GHz (5.6GHz Turbo Boost), AMD RX 7900XTX 24GB GDDR6, 2TB Gen4 SSD, 64GB DDR5 RAM 5600 RGB, 850W GOLD PSU, 360mm ARGB AIO , Wi-Fi, Win 11 Home",2379.99$,2799.99$,Yes,Skytech,United States,0,0,ST-O11V-1234-B-SK,0.01,221665,Goodios Return Policy,0,2329.99$,21.1,20.0,14.0,47.1,,5,A1HJ,Skytech,5.0,183.0
19-113-785,AMD Ryzen 9 7900 - Ryzen 9 7000 Series Zen 4 12-Core 3.7 GHz - Socket AM5 65W - AMD Radeon Graphics Processor - 100-100000590BOX,AMD Ryzen 9 7900 Processor,368$,369$,Yes,AMD,United States,5,41,100-100000590BOX,0.01,44,Standard Return Policy,39,358$,7.0,5.5,5.5,3.0,USA,3,,,,
83-151-512,"MSI Codex R2  Gaming Desktop PC, Intel Core i7-14700F, GeForce RTX 4070, 32GB Memory (16GB x 2), 1TB M.2 NVMe, USB Type-C, VR-Ready, Windows 11 Home Advance",MSI Codex R2 C14NUE7-267US Intel Core i7-14700F Gaming Desktop PC,1399.99$,1599$,Yes,MSI,United States,0,0,Codex R2 C14NUE7-267US,0.01,53,Extended Holiday Return Policy,0,1399$,24.0,21.5,12.0,30.0,,10,,,,
20-156-299,Crucial P3 Plus M.2 2280 500GB PCI-Express 4.0 x4 NVMe 3D NAND Internal Solid State Drive (SSD) CT500P3PSSD8,Crucial P3 Plus CT500P3PSSD8,40.99$,69.99$,Yes,Crucial,United States,5,311,CT500P3PSSD8,0.01,53,Extended Holiday Return Policy,25,36.99$,5.8,3.75,0.5,0.55,USA,3,,,,
14-202-431,SAPPHIRE PULSE Radeon RX 7900 XT Video Card 11323-02-20G,SAPPHIRE 11323-02-20G PULSE Radeon RX 7900 XT Video Card,649.99$,689.99$,Yes,Sapphire Tech,United States,4,206,11323-02-20G,0.01,53,Extended Holiday Return Policy,4,624.99$,16.9,9.6,3.5,4.37,,2,,,,
9SIABW9K9D9569,"Zalman Z1 Iceberg mATX Gaming PC Case, Micro ATX Mini Tower, 3 x 120mm Fans Preinstalled, Swing Door Tempered Glass Side Panel - 2 x USB 3.0, Black","Zalman Z1 Iceberg mATX Gaming PC Case, Micro ATX Mini Tower, 3 x 120mm Fans Preinstalled, Swing Door Tempered Glass Side Panel - 2 x USB 3.0, Black",49.99$,59.99$,Yes,"Zalman Tech Co., Ltd",United States,0,0,Z1 Iceberg Black,0.01,243173,Zalman Direct Return Policy,0,46.99$,20.0,18.5,12.0,13.55,KOR,99999,ABW9,Zalman Direct,5.0,694.0
20-374-369,G.SKILL Ripjaws S5 Series 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model F5-6000J3040F16GX2-RS5K,G.SKILL Ripjaws S5 Series Model F5-6000J3040F16GX2-RS5K,99.99$,99.99$,Yes,G.SKILL,United States,5,285,F5-6000J3040F16GX2-RS5K,0.01,53,Extended Holiday Return Policy,29,96.99$,8.5,5.5,0.62,0.26,,20,,,,
20-374-025,G.SKILL Ripjaws Series 64GB (2 x 32GB) 260-Pin DDR4 SO-DIMM DDR4 3200 (PC4 25600) Laptop Memory Model F4-3200C22D-64GRS,G.SKILL Ripjaws Series Model F4-3200C22D-64GRS,109.99$,109.99$,Yes,G.SKILL,United States,5,1658,F4-3200C22D-64GRS,0.01,53,Extended Holiday Return Policy,4,99.98$,6.3,5.5,0.47,0.11,,20,,,,
9SIA79UBYS7682,"Vantrue N2 Pro-G Uber Dual Dash Cam Infrared Night Vision, Dual Channel 1080P Front and Inside Dash Cam, 2.5K Single Front Car Accident Dash Camera, 24hr Motion Sensor Parking Mode Upgrade","Vantrue N2 Pro-G Uber Dual Dash Cam Infrared Night Vision, Dual Channel 1080P Front and Inside Dash Cam, 2.5K Single Front Car Accident Dash Camera, 24hr Motion Sensor Parking Mode Upgrade",96.99$,199.99$,Yes,Vantrue,United States,4,6,N2Pro-New,0.01,228616,"shenzhen yidianzhuoyueTechnology CO.,LTD Return Policy",2,96.99$,5.3,4.4,3.7,0.9,,99999,A79U,VANTRUE,5.0,822.0
2AM-00CN-00036,"Montech X3 Mesh 6pcs, 3 x 140mm& 3 x 120mm Fixed RGB Lighting Fans (Pre-Installed) ATX Mid-Tower PC Gaming Case, USB3.0, Door Open Tempered Glass Side Panel, High Airflow, Black","Montech X3 Mesh 6pcs, 3 x 140mm& 3 x 120mm Fixed RGB Lighting Fans (Pre-Installed) ATX Mid-Tower PC Gaming Case, USB3.0, Door Open Tempered Glass Side Panel, High Airflow, Black",59.9$,64.9$,Yes,Montech,United States,4,239,X3 Mesh (B),0.01,53,Extended Holiday Return Policy,47,59.9$,21.0,17.0,10.5,13.8,,999999,,,,
9SIBDGPJGE1582,"Silicon Power 2TB UD90 NVMe 4.0 Gen4 PCIe M.2 SSD R/W up to 5,000/4,800 MB/s","Silicon Power 2TB UD90 NVMe 4.0 Gen4 PCIe M.2 SSD R/W up to 5,000/4,800 MB/s",94.99$,109.99$,Yes,Silicon Power,United States,4,44,SU02KGBP44UD9005SN,0.01,396516,SP Silicon Power Return Policy,54,94.99$,4.92,3.35,0.28,0.05,,999,BDGP,SP Silicon Power,5.0,384.0
9SIA6PFA3D8575,"Wavlink WL-UTE02 Type-C Thunderbolt 3 to NVMe SSD Enclosure, Thunderbolt 3 NVME External SSD, Heat Sink Integrated, 0.5m Thunderbolt 3 Pigtail Cable, Thunderbolt 3 Super Speed, Plug and Play","Wavlink WL-UTE02 Type-C Thunderbolt 3 to NVMe SSD Enclosure, Thunderbolt 3 NVME External SSD, Heat Sink Integrated, 0.5m Thunderbolt 3 Pigtail Cable, Thunderbolt 3 Super Speed, Plug and Play",69.99$,69.99$,Yes,Wavlink,United States,4,26,WL-UTE02,0.01,227849,Wavlink Return Policy,0,69.29$,9.0,4.35,1.25,0.56,USA,99999,A6PF,Wavlink Technology,5.0,8059.0
9SIAT2EKAV0841,"Z-EDGE 27 inch 1920 x 1080 Full HD 240Hz 1ms 16.7 Million Colors Flat Panel IPS Gaming Monitor, FreeSync, HDR10, Low Blue Light, Support VESA Mount","Z-EDGE 27 inch 1920 x 1080 Full HD 240Hz 1ms 16.7 Million Colors Flat Panel IPS Gaming Monitor, FreeSync, HDR10, Low Blue Light, Support VESA Mount",159.99$,279.99$,Yes,Z-EDGE,United States,5,162,NEUG27PJ,0.01,350399,Z-EDGE Official Store Return Policy,0,158.39$,27.0,17.0,5.0,14.0,USA,3,AT2E,Z-EDGE Official Store,4.0,215.0
9SIA1HJK959179,"Skytech Azure 2 Gaming PC Desktop, Ryzen 7 7700X 4.5 GHz (5.4GHz Turbo Boost), AMD RX 7800XT 16GB GDDR6, 1TB Gen4 SSD, 32GB DDR5 RAM 5200 RGB, 750W GOLD PSU, 360mm ARGB AIO , Wi-Fi, Win 11 Home","Skytech Azure 2 Gaming PC Desktop, Ryzen 7 7700X 4.5 GHz (5.4GHz Turbo Boost), AMD RX 7800XT 16GB GDDR6, 1TB Gen4 SSD, 32GB DDR5 RAM 5200 RGB, 750W GOLD PSU, 360mm ARGB AIO , Wi-Fi, Win 11 Home",1349.99$,1599.99$,Yes,Skytech,United States,4,5,ST-AZURE2-1322-B-NE,0.01,221665,Goodios Return Policy,37,1349.99$,21.73,19.31,11.3,40.0,,5,A1HJ,Skytech,5.0,183.0
83-360-519,ABS Aquilon Ruby Gaming PC – Windows 11 – AMD Ryzen 7600 – GeForce RTX 4060 Ti 8GB – DLSS 3.5 - AI-Powered Performance - 32GB DDR5 6000MHz - 1TB M.2 NVMe SSD – AR76004060ti,ABS Aquilon Ruby Gaming AMD Ryzen 5 7600 Gaming Desktop,1099.99$,1399.99$,Yes,ABS,United States,5,18,AR76004060ti,0.01,53,Extended Holiday Return Policy,56,999.99$,24.0,23.0,14.0,40.0,USA,99999,,,,
1TS-000A-13CM4,"Dell Latitude 5400 Laptop Intel Core i5-8365U 1.60GHz 16GB RAM 512GB PCIe M.2 SSD 14.0"" FHD Touchscreen Windows 11 Pro 64-Bit","Dell Latitude 5400 Laptop Intel Core i5-8365U 1.60GHz 16GB RAM 512GB PCIe M.2 SSD 14.0"" FHD Touchscreen Windows 11 Pro 64-Bit",219.99$,349.99$,Yes,DELL,United States,4,11,LT-5400 i5/16/512/W11P,0.01,53,Extended Holiday Return Policy,43,0$,18.5,14.25,3.4,5.4,USA,99999,,,,
9SIB5FPJXG5749,"AVGPC Blizzard Series Gaming PC - Intel i7 12700KF 3.6GHz, NVIDIA GeForce RTX 4060, 32GB 3600MHz DDR4, 1TB NVME M.2 SSD, 240mm Liquid Cooler, ARGB Fans, Wifi/AC, TD500 Mesh White Case, Windows 11","AVGPC Blizzard Series Gaming PC - Intel i7 12700KF 3.6GHz, NVIDIA GeForce RTX 4060, 32GB 3600MHz DDR4, 1TB NVME M.2 SSD, 240mm Liquid Cooler, ARGB Fans, Wifi/AC, TD500 Mesh White Case, Windows 11",1269$,1299$,Yes,AVGPC,United States,5,30,AV-Blizzard-4060,0.01,377822,AVGPC Return Policy,95,1269$,19.4,18.54,18.46,35.0,USA,5,B5FP,AVGPC,4.0,84.0
19-118-468,Intel Core i7-14700KF - Core i7 14th Gen 20-Core (8P+12E) LGA 1700 125W None Integrated Graphics Desktop Processor - Boxed - BX8071514700KF,Intel Core i7-14700KF Desktop Processor,327.95$,347.99$,Yes,Intel,United States,4,54,BX8071514700KF,0.01,44,Standard Return Policy,26,324.71$,6.46,5.91,2.44,0.71,USA,2,,,,
9SIA1DS52W8847,ORICO Dual Bay USB 3.0 to SATA External Hard Drive Enclosure with Offline Clone Function External Hard Drive Docking Station for 2.5/3.5 inch HDD/SSD Tool Free -SATA Hard Drive Dock/Adapter/Reader,ORICO Dual Bay USB 3.0 to SATA External Hard Drive Enclosure with Offline Clone Function External Hard Drive Docking Station for 2.5/3.5 inch HDD/SSD Tool Free -SATA Hard Drive Dock/Adapter/Reader,20.99$,39.99$,Yes,Orico,United States,4,42,6228US3-C-US-BK-BP,0.01,221541,"ORICO TECHNOLOGIES CO.,LIMITED Return Policy",3,20.78$,8.0,6.6,2.7,1.35,CHN,99999,A1DS,ORICO Official Store,5.0,10651.0
20-156-327,Crucial Pro 64GB (2 x 32GB) 288-Pin PC RAM DDR4 3200 (PC4 25600) Desktop Memory Model CP2K32G4DFRA32A,Crucial Pro Model CP2K32G4DFRA32A DDR4 3200 (2 x 32GB),94.99$,94.99$,Yes,Crucial,United States,5,80,CP2K32G4DFRA32A,0.01,53,Extended Holiday Return Policy,47,93.86$,7.0,5.0,0.4,0.4,USA,20,,,,
17-139-328,"CORSAIR RMx Shift White Series, RM1000x Shift White, 1000 Watt, 80 PLUS GOLD, Fully Modular Power Supply","CORSAIR RMx Shift White Series, RM1000x Shift White, 1000 Watt, 80 PLUS GOLD, Fully Modular Power Supply",174.99$,219.99$,Yes,Corsair,United States,5,797,CP-9020275-NA,0.01,53,Extended Holiday Return Policy,43,173.24$,13.0,9.0,5.0,8.15,USA,999,,,,
9SIBMARK9H9842,"VTG Gaming PC Ryzen7 9700X (up to 5.5GHz),Radeon RX 7800 XT 20G, 1TB NVME SSD, 32GB DDR5 RAM , 850W GOLD PSU ,240MM AIO liquid cooler ,GAMING B650M WIFI, Windows 11 Home 64-bit Gaming desktop","VTG Gaming PC Ryzen7 9700X (up to 5.5GHz),Radeon RX 7800 XT 20G, 1TB NVME SSD, 32GB DDR5 RAM , 850W GOLD PSU ,240MM AIO liquid cooler ,GAMING B650M WIFI, Windows 11 Home 64-bit Gaming desktop",1429$,3199$,False,VTG,United States,0,0,EGG-7800X3D-RX7900XT,0.01,412133,VTG Official Return Policy,0,1839$,26.0,25.0,16.0,30.0,CHN,999999,BMAR,VTG Official,5.0,42.0
83-363-002,ABS PC Starter Kit - Intel i5 14400F Processor -  Gigabyte B760 Motherboard - ABS RGB Air Cooler,ABS PC Starter Kit - Intel i5 14400F Processor -  Gigabyte B760 Motherboard - ABS RGB Air Cooler,429.99$,429.99$,Yes,ABS,United States,0,0,K14400FB760,0.01,53,Extended Holiday Return Policy,3,259.99$,16.25,12.25,4.75,3.6,USA,5,,,,
13-162-152,"ASRock Z790 Lightning WiFi LGA 1700(14th,13th,12th Gen) Intel Z790 SATA 6Gb/s ATX DDR5 1 PCIe 5.0 x16 2.5G LAN WiFi 6E + Bluetooth Motherboards - Intel","ASRock Z790 Lightning WiFi LGA 1700(14th,13th,12th Gen) Intel Z790 SATA 6Gb/s ATX DDR5 1 PCIe 5.0 x16 2.5G LAN WiFi 6E + Bluetooth Motherboards - Intel",139.99$,169.99$,Yes,ASRock,United States,4,86,Z790 Lightning WiFi,0.01,53,Extended Holiday Return Policy,42,139.99$,13.78,11.0,7.5,4.0,,10,,,,
20-985-092,"Team 640GB (128GB x 5) C162 USB 3.2 Gen 1 Flash Drive, Up to 140MB/s   (TC1623128GB01)",Team C162 640GB (128GB x 5) USB 3.2 High Performance Flash Drive,33.99$,49.99$,Yes,Team Group,United States,4,153,TC1623N128GB21,0.01,53,Extended Holiday Return Policy,11,33.65$,4.55,3.5,2.5,0.2,,3,,,,
